region_id,region_name,country,x,y,grid_capacity_mw,substation_count,green_share_pct,cost_lcoe,wind_pct,solar_pct,hydro_pct,nuclear_pct,gas_pct,coal_pct,co2_intensity,political_stability
DE-BY,Bavaria,DE,11.5,48.8,24750,57,57.34,0.08703,27.2,17.9,3.9,0.0,16.5,20.6,330.0,78
DE-BW,Baden-Wurttemberg,DE,9.1,48.6,56750,122,57.2,0.08703,27.2,17.9,3.9,0.0,16.5,20.6,330.0,78
DE-NW,North Rhine-Westphalia,DE,7.5,51.5,122150,287,59.26,0.0951,27.2,17.9,3.9,0.0,16.5,20.6,330.0,78
DE-HE,Hesse,DE,8.8,50.6,36150,76,58.62,0.08703,27.2,17.9,3.9,0.0,16.5,20.6,330.0,78
DE-NI,Lower Saxony,DE,9.7,52.8,37900,83,60.18,0.08703,27.2,17.9,3.9,0.0,16.5,20.6,330.0,78
DE-BB,Berlin-Brandenburg,DE,13.4,52.5,34600,74,59.97,0.08703,27.2,17.9,3.9,0.0,16.5,20.6,330.0,78
DE-SN,Saxony,DE,13.3,51.1,20850,40,58.97,0.08703,27.2,17.9,3.9,0.0,16.5,20.6,330.0,78
DE-SH,Schleswig-Holstein,DE,9.8,54.2,23400,46,61.17,0.08703,27.2,17.9,3.9,0.0,16.5,20.6,330.0,78
FR-IDF,Ile-de-France,FR,2.5,48.7,102150,326,96.84,0.06704,8.2,5.6,10.4,68.8,3.0,0.3,41.0,70
FR-ARA,Auvergne-Rhone-Alpes,FR,4.5,45.5,98210,332,93.2,0.06135,8.2,5.6,10.4,68.8,3.0,0.3,41.0,70
FR-OCC,Occitanie,FR,2.1,43.7,26850,92,91.15,0.06135,8.2,5.6,10.4,68.8,3.0,0.3,41.0,70
FR-NAQ,Nouvelle-Aquitaine,FR,0.0,44.8,52650,170,92.4,0.06135,8.2,5.6,10.4,68.8,3.0,0.3,41.0,70
FR-GES,Grand Est,FR,5.6,48.7,51500,164,96.84,0.06135,8.2,5.6,10.4,68.8,3.0,0.3,41.0,70
FR-HDF,Hauts-de-France,FR,2.8,50.3,37150,122,98.66,0.06135,8.2,5.6,10.4,68.8,3.0,0.3,41.0,70
ES-MD,Madrid,ES,-3.7,40.4,135500,395,69.57,0.07856,19.6,20.2,5.9,9.4,11.4,0.2,236.0,68
ES-CT,Catalonia,ES,1.8,41.8,64600,194,68.01,0.07189,19.6,20.2,5.9,9.4,11.4,0.2,236.0,68
ES-AN,Andalusia,ES,-4.7,37.5,75950,231,67.23,0.07189,19.6,20.2,5.9,9.4,11.4,0.2,236.0,68
ES-PV,Basque Country,ES,-2.7,43.0,89000,258,68.98,0.07189,19.6,20.2,5.9,9.4,11.4,0.2,236.0,68
IT-LO,Lombardy,IT,9.8,45.6,53650,132,49.41,0.12907,8.1,16.9,15.8,0.0,47.2,1.4,285.0,58
IT-PI,Piedmont,IT,7.9,45.0,36400,105,49.06,0.11811,8.1,16.9,15.8,0.0,47.2,1.4,285.0,58
IT-LA,Lazio,IT,12.7,41.9,97370,230,47.24,0.11811,8.1,16.9,15.8,0.0,47.2,1.4,285.0,58
IT-VE,Veneto,IT,11.8,45.6,49400,129,49.41,0.11811,8.1,16.9,15.8,0.0,47.2,1.4,285.0,58
PL-MZ,Masovia,PL,21.0,52.2,43950,96,31.5,0.11015,14.2,11.3,1.0,0.0,14.3,50.4,589.0,62
PL-SL,Silesia,PL,19.0,50.3,32500,88,30.78,0.10079,14.2,11.3,1.0,0.0,14.3,50.4,589.0,62
PL-PM,Pomerania,PL,18.5,54.2,25550,63,32.25,0.10079,14.2,11.3,1.0,0.0,14.3,50.4,589.0,62
SE-ST,Stockholm,SE,18.1,59.3,69620,175,64.58,0.08519,13.4,1.5,31.1,13.8,3.5,32.5,366.0,92
SE-SK,Skane,SE,13.5,55.9,25850,46,62.0,0.07796,13.4,1.5,31.1,13.8,3.5,32.5,366.0,92
NL-RS,Randstad,NL,4.8,52.2,19300,38,53.84,0.0928,25.0,21.1,0.0,3.0,34.9,7.1,254.0,88
NL-NN,North Netherlands,NL,6.5,53.2,9400,25,54.48,0.08492,25.0,21.1,0.0,3.0,34.9,7.1,254.0,88
BE-FL,Flanders-Brussels,BE,4.4,50.9,34600,74,72.01,0.08881,18.8,14.3,0.6,33.1,21.5,0.0,150.0,74
AT-VI,Vienna Basin,AT,16.4,48.2,27900,64,84.1,0.10528,11.4,14.1,51.8,0.0,11.9,0.0,117.0,85
AT-TY,Tyrol,AT,11.4,47.2,17500,49,83.1,0.09634,11.4,14.1,51.8,0.0,11.9,0.0,117.0,85
CH-ZH,Zurich Basin,CH,8.5,47.4,47050,142,98.22,0.10436,0.2,12.1,52.3,29.9,0.4,1.4,39.0,95
CH-RO,Romandy,CH,6.6,46.5,14600,43,97.16,0.0955,0.2,12.1,52.3,29.9,0.4,1.4,39.0,95
